ticker,vol30_log_scaled,mom30_scaled,beta60_scaled
EQT,-0.06493408829520475,0.7867524333349427,-0.22283593648559497
WDC,0.8125087762590976,0.6578915295205324,0.7627274869728617
PG,-0.7680276819288356,-0.37450680868421216,-1.1461080598397415
HPQ,0.26812003955045133,-0.5291710474054091,0.11610046955556405
APH,0.03408077312464931,1.8956506596707485,0.1724586344966226
EXC,-0.8173289449724829,0.37601088734474275,-1.372727182516435
BKR,0.26643167110581023,-1.2849918298581269,0.20094431820774536
BSX,-0.3924053986959687,0.3644034613212296,-0.32446401026124366
DELL,0.8925086601015073,0.1212860866892734,0.8874562881208742
VST,0.862339165731623,1.4468787375515721,1.079540009313485
TGT,-0.0036153554628728375,-0.699636115017465,-0.21507307360471262
TXN,0.4870308073816915,-0.1823327662631963,0.45527882644916934
MS,0.04827059046043738,0.46086838807622577,0.34804716050159945
PEP,-0.7651958090371688,-1.009207389298549,-1.1471981594704648
WMB,-0.4607943734915994,-0.09881410882082657,-0.4491139153116901
