ticker,ret,vol30,mom30,beta60
MO,-0.0160596224536107,0.013593678373466497,0.01938252286282882,0.08754114888957001
HST,-0.005387200111178547,0.03280508609495886,0.03096708673628057,1.0461704487778267
MRNA,-0.005332205301130655,0.04565434082223133,-0.24501865484411345,1.0888781620402597
CVS,-0.012969746104763868,0.02226843065832154,0.001041880969204767,0.4332930077973415
TFC,-0.0007685090494505831,0.03362643147900826,-0.045178820342317794,1.0584022137183995
DVN,0.01879105757552524,0.05362251189714405,-0.11795016710504314,1.5647840735605492
UAL,-0.02694883415632021,0.06643748581917924,0.05086356488316124,2.1628903787303653
GILD,-0.012734310853357411,0.02036190939789483,-0.12819359059500768,0.28858412392252164
MDLZ,-0.012645023187820237,0.016159399767231825,-0.009868817918050166,0.08996195003378073
JNJ,-0.009250946983992536,0.020001508314249457,-0.05461903632326892,0.07631362170596871
CVX,0.010580941900688146,0.029395355395749237,-0.16897683429146748,0.8073216276335863
COP,-0.0025895446715138437,0.04050808227056699,-0.13839723204793886,1.154285512567976
RF,-0.00657274153347609,0.03292132995635078,-0.035111739491492044,1.0287876979655801
APA,0.03337447453607112,0.06565266226352749,-0.19839162488353446,1.9234498304133203
PARA,0.022260211336835756,0.02116083859326604,0.022260211336835756,0.45072733168597084
BA,0.01643197290255527,0.04369089259876096,0.08787898743524636,1.3585897124509625
DOW,0.008207926573078339,0.0481458519803698,-0.16345067712496975,1.4232862139002622
QCOM,0.0005512513363270521,0.04607489700323129,-0.08096479360693742,1.426259452370241
EQT,0.04157298394326814,0.03354594328834624,0.06622516943719448,0.8842780662124058
WDC,-0.0045146899860922796,0.0545063845071252,0.052254799205021074,1.6273485218550543
PG,-0.0062400899619381445,0.017051450747927507,-0.05967198839980059,0.18817244677345574
HPQ,0.0049373019803755636,0.041452461392115204,-0.07643981023445345,1.1398208589705847
APH,0.0037229512974230605,0.03589020996369866,0.18644564215732462,1.1823123783443261
EXC,0.0024390380060586025,0.015904774516291163,0.021694894564353806,0.017311829651734743
BKR,0.006620735957704849,0.04141222833183678,-0.15838162382939003,1.2037893015647916
BSX,-0.004163039029571158,0.025830484659753183,0.02043648309748569,0.8076550734256416
DELL,-0.003221757998970509,0.05643844580949547,-0.005920927357853767,1.7213884231894423
VST,-0.03661914362363261,0.05570941293021836,0.1377923290404266,1.866210902221047
TGT,-0.005467850795710549,0.03499709375223136,-0.09492066855299164,0.890130915375321
TXN,0.04002659325792557,0.04668219420287975,-0.03883756583900866,1.395546071779966
MS,-0.0014768650248778714,0.036226602087794664,0.0308946647592232,1.3146982227441604
PEP,-0.007532452937261902,0.017117355317795707,-0.12848263488205913,0.18735056072328665
WMB,0.010515220113575863,0.024226475970779125,-0.029782945459778554,0.7136746561972699
